naics_industry_group,description,sourcing_class,rationale,source,customer_type,customer_rationale,customer_source
1111,Oilseed and Grain Farming,business,"Taxable sales of business-serving vendors (wholesale, contractors, information, professional and administrative services, etc.) and purchases subject to use tax, sourced to the customer's location. Allocated by where private economic activity is: workplace employment excluding public administration, since government purchases are exempt under Tax Law s.1116(a)(1). Total employment and Economic Census payroll are sensitivities.",https://lehd.ces.census.gov/data/,mixed,Nurseries and farm stands sell to households; farm services to farms.,https://www.census.gov/naics/ ; https://www.tax.ny.gov/pdf/publications/sales/pub750.pdf ; https://www.tax.ny.gov/forms/publications/st/pub718r.htm
1112,Vegetable and Melon Farming,business,"Taxable sales of business-serving vendors (wholesale, contractors, information, professional and administrative services, etc.) and purchases subject to use tax, sourced to the customer's location. Allocated by where private economic activity is: workplace employment excluding public administration, since government purchases are exempt under Tax Law s.1116(a)(1). Total employment and Economic Census payroll are sensitivities.",https://lehd.ces.census.gov/data/,mixed,Nurseries and farm stands sell to households; farm services to farms.,https://www.census.gov/naics/ ; https://www.tax.ny.gov/pdf/publications/sales/pub750.pdf ; https://www.tax.ny.gov/forms/publications/st/pub718r.htm
1113,Fruit and Tree Nut Farming,business,"Taxable sales of business-serving vendors (wholesale, contractors, information, professional and administrative services, etc.) and purchases subject to use tax, sourced to the customer's location. Allocated by where private economic activity is: workplace employment excluding public administration, since government purchases are exempt under Tax Law s.1116(a)(1). Total employment and Economic Census payroll are sensitivities.",https://lehd.ces.census.gov/data/,mixed,Nurseries and farm stands sell to households; farm services to farms.,https://www.census.gov/naics/ ; https://www.tax.ny.gov/pdf/publications/sales/pub750.pdf ; https://www.tax.ny.gov/forms/publications/st/pub718r.htm
1114,"Greenhouse, Nursery, and Floriculture Production",business,"Taxable sales of business-serving vendors (wholesale, contractors, information, professional and administrative services, etc.) and purchases subject to use tax, sourced to the customer's location. Allocated by where private economic activity is: workplace employment excluding public administration, since government purchases are exempt under Tax Law s.1116(a)(1). Total employment and Economic Census payroll are sensitivities.",https://lehd.ces.census.gov/data/,mixed,Nurseries and farm stands sell to households; farm services to farms.,https://www.census.gov/naics/ ; https://www.tax.ny.gov/pdf/publications/sales/pub750.pdf ; https://www.tax.ny.gov/forms/publications/st/pub718r.htm
1119,Other Crop Farming,business,"Taxable sales of business-serving vendors (wholesale, contractors, information, professional and administrative services, etc.) and purchases subject to use tax, sourced to the customer's location. Allocated by where private economic activity is: workplace employment excluding public administration, since government purchases are exempt under Tax Law s.1116(a)(1). Total employment and Economic Census payroll are sensitivities.",https://lehd.ces.census.gov/data/,mixed,Nurseries and farm stands sell to households; farm services to farms.,https://www.census.gov/naics/ ; https://www.tax.ny.gov/pdf/publications/sales/pub750.pdf ; https://www.tax.ny.gov/forms/publications/st/pub718r.htm
1121,Cattle Ranching and Farming,business,"Taxable sales of business-serving vendors (wholesale, contractors, information, professional and administrative services, etc.) and purchases subject to use tax, sourced to the customer's location. Allocated by where private economic activity is: workplace employment excluding public administration, since government purchases are exempt under Tax Law s.1116(a)(1). Total employment and Economic Census payroll are sensitivities.",https://lehd.ces.census.gov/data/,mixed,Nurseries and farm stands sell to households; farm services to farms.,https://www.census.gov/naics/ ; https://www.tax.ny.gov/pdf/publications/sales/pub750.pdf ; https://www.tax.ny.gov/forms/publications/st/pub718r.htm
1122,Hog and Pig Farming,business,"Taxable sales of business-serving vendors (wholesale, contractors, information, professional and administrative services, etc.) and purchases subject to use tax, sourced to the customer's location. Allocated by where private economic activity is: workplace employment excluding public administration, since government purchases are exempt under Tax Law s.1116(a)(1). Total employment and Economic Census payroll are sensitivities.",https://lehd.ces.census.gov/data/,mixed,Nurseries and farm stands sell to households; farm services to farms.,https://www.census.gov/naics/ ; https://www.tax.ny.gov/pdf/publications/sales/pub750.pdf ; https://www.tax.ny.gov/forms/publications/st/pub718r.htm
1123,Poultry and Egg Production,business,"Taxable sales of business-serving vendors (wholesale, contractors, information, professional and administrative services, etc.) and purchases subject to use tax, sourced to the customer's location. Allocated by where private economic activity is: workplace employment excluding public administration, since government purchases are exempt under Tax Law s.1116(a)(1). Total employment and Economic Census payroll are sensitivities.",https://lehd.ces.census.gov/data/,mixed,Nurseries and farm stands sell to households; farm services to farms.,https://www.census.gov/naics/ ; https://www.tax.ny.gov/pdf/publications/sales/pub750.pdf ; https://www.tax.ny.gov/forms/publications/st/pub718r.htm
1124,Sheep and Goat Farming,business,"Taxable sales of business-serving vendors (wholesale, contractors, information, professional and administrative services, etc.) and purchases subject to use tax, sourced to the customer's location. Allocated by where private economic activity is: workplace employment excluding public administration, since government purchases are exempt under Tax Law s.1116(a)(1). Total employment and Economic Census payroll are sensitivities.",https://lehd.ces.census.gov/data/,mixed,Nurseries and farm stands sell to households; farm services to farms.,https://www.census.gov/naics/ ; https://www.tax.ny.gov/pdf/publications/sales/pub750.pdf ; https://www.tax.ny.gov/forms/publications/st/pub718r.htm
1125,Aquaculture,business,"Taxable sales of business-serving vendors (wholesale, contractors, information, professional and administrative services, etc.) and purchases subject to use tax, sourced to the customer's location. Allocated by where private economic activity is: workplace employment excluding public administration, since government purchases are exempt under Tax Law s.1116(a)(1). Total employment and Economic Census payroll are sensitivities.",https://lehd.ces.census.gov/data/,mixed,Nurseries and farm stands sell to households; farm services to farms.,https://www.census.gov/naics/ ; https://www.tax.ny.gov/pdf/publications/sales/pub750.pdf ; https://www.tax.ny.gov/forms/publications/st/pub718r.htm
1129,Other Animal Production,business,"Taxable sales of business-serving vendors (wholesale, contractors, information, professional and administrative services, etc.) and purchases subject to use tax, sourced to the customer's location. Allocated by where private economic activity is: workplace employment excluding public administration, since government purchases are exempt under Tax Law s.1116(a)(1). Total employment and Economic Census payroll are sensitivities.",https://lehd.ces.census.gov/data/,mixed,Nurseries and farm stands sell to households; farm services to farms.,https://www.census.gov/naics/ ; https://www.tax.ny.gov/pdf/publications/sales/pub750.pdf ; https://www.tax.ny.gov/forms/publications/st/pub718r.htm
1131,Timber Tract Operations,business,"Taxable sales of business-serving vendors (wholesale, contractors, information, professional and administrative services, etc.) and purchases subject to use tax, sourced to the customer's location. Allocated by where private economic activity is: workplace employment excluding public administration, since government purchases are exempt under Tax Law s.1116(a)(1). Total employment and Economic Census payroll are sensitivities.",https://lehd.ces.census.gov/data/,mixed,Nurseries and farm stands sell to households; farm services to farms.,https://www.census.gov/naics/ ; https://www.tax.ny.gov/pdf/publications/sales/pub750.pdf ; https://www.tax.ny.gov/forms/publications/st/pub718r.htm
1132,Forest Nurseries and Gathering of Forest Products,business,"Taxable sales of business-serving vendors (wholesale, contractors, information, professional and administrative services, etc.) and purchases subject to use tax, sourced to the customer's location. Allocated by where private economic activity is: workplace employment excluding public administration, since government purchases are exempt under Tax Law s.1116(a)(1). Total employment and Economic Census payroll are sensitivities.",https://lehd.ces.census.gov/data/,mixed,Nurseries and farm stands sell to households; farm services to farms.,https://www.census.gov/naics/ ; https://www.tax.ny.gov/pdf/publications/sales/pub750.pdf ; https://www.tax.ny.gov/forms/publications/st/pub718r.htm
1133,Logging,business,"Taxable sales of business-serving vendors (wholesale, contractors, information, professional and administrative services, etc.) and purchases subject to use tax, sourced to the customer's location. Allocated by where private economic activity is: workplace employment excluding public administration, since government purchases are exempt under Tax Law s.1116(a)(1). Total employment and Economic Census payroll are sensitivities.",https://lehd.ces.census.gov/data/,mixed,Nurseries and farm stands sell to households; farm services to farms.,https://www.census.gov/naics/ ; https://www.tax.ny.gov/pdf/publications/sales/pub750.pdf ; https://www.tax.ny.gov/forms/publications/st/pub718r.htm
1141,Fishing,business,"Taxable sales of business-serving vendors (wholesale, contractors, information, professional and administrative services, etc.) and purchases subject to use tax, sourced to the customer's location. Allocated by where private economic activity is: workplace employment excluding public administration, since government purchases are exempt under Tax Law s.1116(a)(1). Total employment and Economic Census payroll are sensitivities.",https://lehd.ces.census.gov/data/,mixed,Nurseries and farm stands sell to households; farm services to farms.,https://www.census.gov/naics/ ; https://www.tax.ny.gov/pdf/publications/sales/pub750.pdf ; https://www.tax.ny.gov/forms/publications/st/pub718r.htm
1142,Hunting and Trapping,business,"Taxable sales of business-serving vendors (wholesale, contractors, information, professional and administrative services, etc.) and purchases subject to use tax, sourced to the customer's location. Allocated by where private economic activity is: workplace employment excluding public administration, since government purchases are exempt under Tax Law s.1116(a)(1). Total employment and Economic Census payroll are sensitivities.",https://lehd.ces.census.gov/data/,mixed,Nurseries and farm stands sell to households; farm services to farms.,https://www.census.gov/naics/ ; https://www.tax.ny.gov/pdf/publications/sales/pub750.pdf ; https://www.tax.ny.gov/forms/publications/st/pub718r.htm
1151,Support Activities for Crop Production,business,"Taxable sales of business-serving vendors (wholesale, contractors, information, professional and administrative services, etc.) and purchases subject to use tax, sourced to the customer's location. Allocated by where private economic activity is: workplace employment excluding public administration, since government purchases are exempt under Tax Law s.1116(a)(1). Total employment and Economic Census payroll are sensitivities.",https://lehd.ces.census.gov/data/,mixed,Nurseries and farm stands sell to households; farm services to farms.,https://www.census.gov/naics/ ; https://www.tax.ny.gov/pdf/publications/sales/pub750.pdf ; https://www.tax.ny.gov/forms/publications/st/pub718r.htm
1152,Support Activities for Animal Production,business,"Taxable sales of business-serving vendors (wholesale, contractors, information, professional and administrative services, etc.) and purchases subject to use tax, sourced to the customer's location. Allocated by where private economic activity is: workplace employment excluding public administration, since government purchases are exempt under Tax Law s.1116(a)(1). Total employment and Economic Census payroll are sensitivities.",https://lehd.ces.census.gov/data/,mixed,Nurseries and farm stands sell to households; farm services to farms.,https://www.census.gov/naics/ ; https://www.tax.ny.gov/pdf/publications/sales/pub750.pdf ; https://www.tax.ny.gov/forms/publications/st/pub718r.htm
1153,Support Activities for Forestry,business,"Taxable sales of business-serving vendors (wholesale, contractors, information, professional and administrative services, etc.) and purchases subject to use tax, sourced to the customer's location. Allocated by where private economic activity is: workplace employment excluding public administration, since government purchases are exempt under Tax Law s.1116(a)(1). Total employment and Economic Census payroll are sensitivities.",https://lehd.ces.census.gov/data/,mixed,Nurseries and farm stands sell to households; farm services to farms.,https://www.census.gov/naics/ ; https://www.tax.ny.gov/pdf/publications/sales/pub750.pdf ; https://www.tax.ny.gov/forms/publications/st/pub718r.htm
